| Time  | Date       | Doctor Name          | Specialization  | Appointment History | Vacation/Leave Info | Location         | Patient Load |
| 15:45 | 02/07/2022 | Dr. Aniket Sharma    | Orthopedics       | Low                  | None                | Nagpur            | 27           |
| 09:30 | 07/07/2022 | Dr. Simran Kapoor    | Dermatology      | Moderate             | None                | Coimbatore        | 20           |
| 12:15 | 12/07/2022 | Dr. Arnav Desai      | Pediatrics       | High                 | None                | Visakhapatnam     | 16           |
| 14:45 | 17/07/2022 | Dr. Amrita Patel     | Gynecology        | Low                  | 17-22 Jul 2022      | Surat             | 25           |
| 17:30 | 22/07/2022 | Dr. Kabir Singh      | Cardiology       | Moderate             | None                | Kanpur            | 18           |
| 10:00 | 27/07/2022 | Dr. Isha Verma       | Orthopedics       | High               | None                | Allahabad         | 22           |
| 13:30 | 01/08/2022 | Dr. Rahul Reddy      | Dermatology      | Low                  | None                | Jabalpur          | 30           |
| 15:45 | 06/08/2022 | Dr. Tanushka Sharma  | Pediatrics       | Moderate             | 06-10 Aug 2022      | Amritsar          | 16           |
| 09:30 | 11/08/2022 | Dr. Vedant Desai     | Gynecology        | High                 | None                | Mumbai            | 12           |
| 11:15 | 16/08/2022 | Dr. Prisha Kapoor    | Cardiology       | Low                  | None                | Delhi             | 28           |
| 14:00 | 21/08/2022 | Dr. Rohit Patel      | Orthopedics       | Moderate             | None                | Pune              | 21           |
| 16:30 | 26/08/2022 | Dr. Anushka Deshmukh | Dermatology      | High                 | 26-30 Aug 2022      | Kolkata           | 19           |
| 08:45 | 31/08/2022 | Dr. Aarav Joshi      | Pediatrics       | Low                  | None                | Hyderabad         | 24           |
| 12:30 | 05/09/2022 | Dr. Riya Malhotra    | Gynecology        | High                 | None                | Bangalore         | 14           |
| 15:00 | 10/09/2022 | Dr. Varsha Singh     | Cardiology       | Moderate             | None                | Jaipur            | 17           |
| 09:15 | 15/09/2022 | Dr. Yuvraj Kapoor    | Orthopedics       | Low                  | 15-20 Sep 2022      | Lucknow           | 23           |
| 11:45 | 20/09/2022 | Dr. Aanya Desai      | Dermatology      | High                 | None                | Ahmedabad         | 13           |
| 14:15 | 25/09/2022 | Dr. Rishabh Patel    | Pediatrics       | Moderate             | None                | Delhi             | 27           |
| 17:00 | 30/09/2022 | Dr. Kirti Yadav      | Gynecology        | Low                  | None                | Mumbai            | 20           |
| 10:30 | 05/10/2022 | Dr. Arnav Singh      | Cardiology       | High                 | None                | Chennai           | 16           |
| 13:00 | 10/10/2022 | Dr. Akshara Sharma   | Orthopedics       | Low                  | 10-15 Oct 2022      | Bhopal            | 25           |
| 15:45 | 15/10/2022 | Dr. Akhil Malhotra   | Dermatology      | Moderate             | None                | Hyderabad         | 19           |
| 09:30 | 20/10/2022 | Dr. Anvi Patel       | Pediatrics       | High                 | None                | Kolkata           | 22           |
| 11:15 | 25/10/2022 | Dr. Vivaan Reddy     | Gynecology        | Low                  | 25-30 Oct 2022      | Bangalore         | 28           |
| 14:00 | 30/10/2022 | Dr. Trisha Desai     | Cardiology       | Moderate             | None                | Pune              | 15           |
| 16:30 | 04/11/2022 | Dr. Aarush Sharma    | Orthopedics       | High               | None                | Jaipur            | 21           |
| 08:45 | 09/11/2022 | Dr. Anaya Kapoor     | Dermatology      | Low                  | None                | Chandigarh        | 24           |
| 12:30 | 14/11/2022 | Dr. Krish Patel      | Pediatrics       | Moderate             | None                | Bhopal            | 18           |
| 15:00 | 19/11/2022 | Dr. Saanvi Singh     | Gynecology        | High                 | 19-25 Nov 2022      | Ahmedabad         | 30           |
| 09:15 | 24/11/2022 | Dr. Raghav Desai     | Cardiology       | Low                  | None                | Kolkata           | 16           |
| 11:45 | 29/11/2022 | Dr. Avani Patel      | Orthopedics       | Moderate             | None                | Mumbai            | 14           |
| 14:15 | 04/12/2022 | Dr. Kabir Malhotra   | Dermatology      | High                 | None                | Chennai           | 20           |
| 17:00 | 09/12/2022 | Dr. Aditi Reddy      | Pediatrics       | Low                  | None                | Lucknow           | 22           |
| 10:00 | 15/12/2022 | Dr. Shreya Kapoor    | Cardiology        | Moderate             | None                | Nagpur            | 20           |
| 13:30 | 20/12/2022 | Dr. Rohit Deshmukh   | Orthopedics       | High                 | 20-25 Dec 2022      | Coimbatore        | 15           |
| 15:45 | 25/12/2022 | Dr. Ishan Patel      | Dermatology       | Low                  | None                | Visakhapatnam     | 25           |
| 16:30 | 30/12/2022 | Dr. Naina Singh      | Pediatrics        | Moderate             | None                | Surat             | 18           |
| 11:15 | 05/01/2023 | Dr. Aarohi Reddy     | Gynecology        | High                 | None                | Kanpur            | 22           |
| 14:00 | 10/01/2023 | Dr. Vihan Desai      | Cardiology        | Low                  | 10-15 Jan 2023      | Allahabad         | 30           |
| 16:30 | 15/01/2023 | Dr. Trisha Sharma    | Orthopedics       | Moderate             | None                | Jabalpur          | 16           |
| 08:45 | 20/01/2023 | Dr. Akshay Gupta     | Dermatology       | High                 | None                | Amritsar          | 12           |
| 12:30 | 25/01/2023 | Dr. Aditya Patel     | Pediatrics        | Low                  | None                | Ludhiana          | 28           |
| 15:00 | 30/01/2023 | Dr. Yashika Joshi    | Gynecology        | Moderate             | None                | Varanasi          | 21           |
| 09:15 | 04/02/2023 | Dr. Kartik Kapoor    | Cardiology        | High                 | None                | Patna             | 19           |
| 11:45 | 09/02/2023 | Dr. Anvi Desai       | Orthopedics       | Low                  | 09-15 Feb 2023      | Ranchi            | 24           |
| 14:15 | 14/02/2023 | Dr. Sahana Malhotra  | Dermatology       | High                 | None                | Kochi             | 14           |
| 17:00 | 19/02/2023 | Dr. Dev Patel        | Pediatrics        | Moderate             | None                | Bhopal            | 17           |
| 10:30 | 24/02/2023 | Dr. Ishaan Singh     | Gynecology        | Low                  | 24-28 Feb 2023      | Guwahati          | 23           |
| 13:00 | 01/03/2023 | Dr. Rashi Kapoor     | Cardiology        | High                 | None                | Raipur            | 13           |
| 15:45 | 06/03/2023 | Dr. Aryan Desai      | Orthopedics       | Moderate             | None                | Nagpur            | 27           |
| 09:30 | 11/03/2023 | Dr. Nehal Patel      | Dermatology       | Low                  | 11-18 Mar 2023      | Coimbatore        | 20           |
| 12:15 | 16/03/2023 | Dr. Aadhya Sharma    | Pediatrics        | High                 | None                | Visakhapatnam     | 16           |
| 14:45 | 21/03/2023 | Dr. Arnav Patel      | Gynecology        | Low                  | None                | Surat             | 25           |
| 17:30 | 26/03/2023 | Dr. Avisha Desai     | Cardiology        | Moderate             | None                | Kanpur            | 18           |
| 10:00 | 31/03/2023 | Dr. Aayush Singh     | Orthopedics       | High               | None                | Allahabad         | 22           |
| 13:30 | 05/04/2023 | Dr. Diya Kapoor      | Dermatology       | Low                  | None                | Jabalpur          | 30           |
| 15:45 | 10/04/2023 | Dr. Karthik Desai    | Pediatrics        | Moderate             | None                | Amritsar          | 16           |
| 09:30 | 15/04/2023 | Dr. Amaira Patel     | Gynecology        | High                 | 15-20 Apr 2023      | Ludhiana          | 12           |
| 11:15 | 20/04/2023 | Dr. Aadi Joshi       | Cardiology        | Low                  | None                | Varanasi          | 28           |
| 14:00 | 25/04/2023 | Dr. Pranav Reddy     | Orthopedics       | Moderate             | None                | Patna             | 21           |
| 16:30 | 30/04/2023 | Dr. Myra Kapoor      | Dermatology       | High                 | None                | Ranchi            | 19           |
| 08:45 | 05/05/2023 | Dr. Krish Desai      | Pediatrics        | Low                  | None                | Kochi             | 24           |
| 12:30 | 10/05/2023 | Dr. Siya Sharma      | Gynecology        | High                 | None                | Bhopal            | 14           |
| 15:00 | 15/05/2023 | Dr. Vihaan Patel     | Cardiology        | Moderate             | 15-22 May 2023      | Guwahati          | 17           |
| 09:15 | 20/05/2023 | Dr. Zara Desai       | Orthopedics       | Low                  | None                | Raipur            | 23           |
| 11:45 | 25/05/2023 | Dr. Arjun Kapoor     | Dermatology       | High                 | None                | Nagpur            | 13           |
| 14:15 | 30/05/2023 | Dr. Aishani Joshi    | Pediatrics        | Moderate             | None                | Coimbatore        | 27           |
| 17:00 | 04/06/2023 | Dr. Ranveer Singh    | Gynecology        | Low                  | 04-10 Jun 2023      | Visakhapatnam     | 20           |
| 10:30 | 09/06/2023 | Dr. Ishika Malhotra  | Cardiology        | High                 | None                | Surat             | 21           |
| 13:00 | 14/06/2023 | Dr. Aarush Desai     | Orthopedics       | Low                  | None                | Kanpur            | 22           |
| 15:45 | 19/06/2023 | Dr. Aanya Patel      | Dermatology       | Moderate             | None                | Allahabad         | 18           |
| 09:30 | 24/06/2023 | Dr. Arnav Singh      | Pediatrics        | High                 | None                | Jabalpur          | 15           |
| 11:15 | 29/06/2023 | Dr. Aashi Kapoor     | Gynecology        | Low                  | None                | Amritsar          | 28           |
| 14:00 | 04/07/2023 | Dr. Vihaan Deshmukh  | Cardiology        | Moderate             | None                | Ludhiana          | 19           |
| 16:30 | 09/07/2023 | Dr. Anvi Joshi       | Orthopedics       | High               | None                | Varanasi          | 24           |
| 08:45 | 14/07/2023 | Dr. Vivaan Malhotra  | Dermatology       | Low                  | None                | Patna             | 30           |
| 12:30 | 19/07/2023 | Dr. Anaya Patel      | Pediatrics        | High                 | 19-25 Jul 2023      | Chandigarh        | 16           |
| 15:00 | 24/07/2023 | Dr. Kabir Singh      | Gynecology        | Moderate             | None                | Bhopal            | 17           |
| 09:15 | 29/07/2023 | Dr. Vani Desai       | Cardiology        | Low                  | None                | Ahmedabad         | 23           |
| 11:45 | 03/08/2023 | Dr. Avisha Sharma    | Orthopedics       | High                 | None                | Kolkata           | 13           |
| 14:15 | 08/08/2023 | Dr. Aarav Patel      | Dermatology       | Moderate             | None                | Hyderabad         | 27           |
| 17:00 | 13/08/2023 | Dr. Anaya Deshmukh   | Pediatrics        | Low                  | None                | Bangalore         | 22           |
| 10:30 | 18/08/2023 | Dr. Vihaan Singh     | Gynecology        | High                 | 18-22 Aug 2023      | Mumbai            | 16           |
| 13:00 | 23/08/2023 | Dr. Rhea Kapoor      | Cardiology        | Moderate             | None                | Chennai           | 21           |
| 15:45 | 28/08/2023 | Dr. Aarush Desai     | Orthopedics       | Low                  | None                | Jaipur            | 19           |
| 09:30 | 02/09/2023 | Dr. Diya Joshi       | Dermatology       | High                 | None                | Lucknow           | 12           |
| 11:15 | 07/09/2023 | Dr. Atharva Patel    | Pediatrics        | Moderate             | None                | Varanasi          | 18           |
| 14:00 | 12/09/2023 | Dr. Avni Singh       | Gynecology        | Low                  | 12-18 Sep 2023      | Surat             | 24           |
| 17:30 | 17/09/2023 | Dr. Arnav Malhotra   | Cardiology        | High                 | None                | Kanpur            | 14           |
| 10:00 | 22/09/2023 | Dr. Aanya Desai      | Orthopedics       | Low                  | None                | Allahabad         | 27           |
| 13:30 | 27/09/2023 | Dr. Aarav Patel      | Dermatology       | Moderate             | None                | Nagpur            | 19           |
| 15:45 | 02/10/2023 | Dr. Anya Sharma      | Pediatrics        | High                 | None                | Coimbatore        | 15           |
| 09:30 | 07/10/2023 | Dr. Aaryan Kapoor    | Gynecology        | Low                  | None                | Visakhapatnam     | 28           |
| 11:15 | 12/10/2023 | Dr. Anvi Deshmukh    | Cardiology        | Moderate             | 12-18 Oct 2023      | Surat             | 21           |
| 14:00 | 17/10/2023 | Dr. Aarav Joshi      | Orthopedics       | High               | None                | Kanpur            | 22           |
| 16:30 | 22/10/2023 | Dr. Arnav Kapoor     | Dermatology       | Low                  | None                | Allahabad         | 20           |
| 08:45 | 27/10/2023 | Dr. Aanya Singh      | Pediatrics        | Moderate             | None                | Jabalpur          | 16           |
| 12:30 | 01/11/2023 | Dr. Advait Desai     | Gynecology        | High                 | 01-10 Nov 2023      | Amritsar          | 23          
| 10:00 | 06/11/2023 | Dr. Naina Kapoor     | Cardiology        | Moderate             | None                | Raipur            | 20           |
| 13:30 | 11/11/2023 | Dr. Yash Deshmukh    | Orthopedics       | High                 | 11-15 Nov 2023      | Nagpur            | 15           |
| 15:45 | 16/11/2023 | Dr. Anika Patel      | Dermatology       | Low                  | None                | Lucknow           | 25           |
| 16:30 | 21/11/2023 | Dr. Karthik Joshi    | Pediatrics        | Moderate             | None                | Varanasi          | 18           |
| 11:15 | 26/11/2023 | Dr. Sia Reddy        | Gynecology        | High                 | None                | Kanpur            | 22           |
| 14:00 | 01/12/2023 | Dr. Vir Desai        | Cardiology        | Low                  | 01-08 Dec 2023      | Allahabad         | 30           |
| 16:30 | 06/12/2023 | Dr. Ananya Patel     | Orthopedics       | Moderate             | None                | Jabalpur          | 16           |
| 08:45 | 11/12/2023 | Dr. Krish Sharma     | Dermatology       | High                 | None                | Amritsar          | 12           |
| 12:30 | 16/12/2023 | Dr. Aaryan Patel     | Pediatrics        | Low                  | None                | Ludhiana          | 28           |
| 15:00 | 21/12/2023 | Dr. Aarna Kapoor     | Gynecology        | Moderate             | None                | Visakhapatnam     | 21           |
| 09:15 | 26/12/2023 | Dr. Arnav Desai      | Cardiology        | High                 | None                | Surat             | 19           |
| 11:45 | 31/12/2023 | Dr. Zara Joshi       | Orthopedics       | Low                  | 31 Dec 2023 - 05 Jan 2024 | Chandigarh | 24     |
| 14:15 | 05/01/2024 | Dr. Aarav Malhotra   | Dermatology       | High                 | None                | Bhopal            | 14           |
| 17:00 | 10/01/2024 | Dr. Aanya Patel      | Pediatrics        | Moderate             | None                | Delhi             | 17           |
| 10:30 | 15/01/2024 | Dr. Yuvraj Singh     | Gynecology        | Low                  | 15-20 Jan 2024      | Mumbai            | 23           |
| 13:00 | 20/01/2024 | Dr. Aisha Desai      | Cardiology        | High                 | None                | Chennai           | 13           |
| 15:45 | 25/01/2024 | Dr. Arjun Joshi      | Orthopedics       | Moderate             | None                | Hyderabad         | 27           |
| 09:30 | 30/01/2024 | Dr. Avni Kapoor      | Dermatology       | Low                  | None                | Bangalore         | 20           |
| 12:15 | 04/02/2024 | Dr. Vihaan Reddy     | Pediatrics        | High                 | None                | Jaipur            | 16           |
| 14:45 | 09/02/2024 | Dr. Aadya Sharma     | Gynecology        | Low                  | 09-15 Feb 2024      | Guwahati          | 25           |
| 17:30 | 14/02/2024 | Dr. Aarush Patel     | Cardiology        | Moderate             | None                | Raipur            | 18           |
| 10:00 | 19/02/2024 | Dr. Aditi Desai      | Orthopedics       | High                 | None                | Nagpur            | 22           |
| 13:30 | 24/02/2024 | Dr. Rian Malhotra    | Dermatology       | Low                  | None                | Coimbatore        | 30           |
| 15:45 | 29/02/2024 | Dr. Anshika Patel    | Pediatrics        | Moderate             | None                | Visakhapatnam     | 16           |
| 09:30 | 05/03/2024 | Dr. Krish Kapoor     | Gynecology        | High                 | None                | Surat             | 19           |
| 11:15 | 10/03/2024 | Dr. Trisha Desai     | Cardiology        | Low                  | None                | Kanpur            | 28           |
| 14:00 | 15/03/2024 | Dr. Varun Singh      | Orthopedics       | Moderate             | 15-22 Mar 2024      | Allahabad         | 21           |
| 16:30 | 20/03/2024 | Dr. Vanya Joshi      | Dermatology       | High                 | None                | Jabalpur          | 14           |
| 08:45 | 25/03/2024 | Dr. Kabir Desai      | Pediatrics        | Low                  | None                | Amritsar          | 27           |
| 12:30 | 30/03/2024 | Dr. Zoya Patel       | Gynecology        | High                 | None                | Ludhiana          | 23           |
| 15:00 | 04/04/2024 | Dr. Arnav Joshi      | Cardiology        | Moderate             | None                | Varanasi          | 15           |
| 09:15 | 09/04/2024 | Dr. Anaya Malhotra   | Orthopedics       | Low                  | None                | Patna             | 20           |
| 11:45 | 14/04/2024 | Dr. Aanya Kapoor     | Dermatology       | High                 | None                | Ranchi            | 24           |
| 14:15 | 19/04/2024 | Dr. Aarav Patel      | Pediatrics        | Moderate             | None                | Kochi             | 18           |
| 17:00 | 24/04/2024 | Dr. Avni Singh       | Gynecology        | Low                  | 24-28 Apr 2024      | Bhopal            | 22           |
| 10:30 | 29/04/2024 | Dr. Aarush Deshmukh  | Cardiology        | High               | None                | Indore            | 30           |
| 13:00 | 04/05/2024 | Dr. Arjun Kapoor     | Orthopedics       | Moderate             | None                | Raipur            | 16           |
| 15:45 | 09/05/2024 | Dr. Aadhya Joshi     | Dermatology       | Low                  | None                | Guwahati          | 17           |
| 09:30 | 14/05/2024 | Dr. Vihaan Desai     | Pediatrics        | High                 | None                | Kochi             | 23           |
| 11:15 | 19/05/2024 | Dr. Aahana Patel     | Gynecology        | Moderate             | None                | Bhopal            | 16           |
| 14:00 | 24/05/2024 | Dr. Arisha Kapoor    | Cardiology        | Low                  | None                | Indore            | 21           |
| 16:30 | 29/05/2024 | Dr. Vihan Deshmukh   | Orthopedics       | High                 | None                | Lucknow           | 22           |
| 08:45 | 03/06/2024 | Dr. Aaryan Joshi     | Dermatology       | Low                  | 03-10 Jun 2024      | Varanasi          | 28           |
| 12:30 | 08/06/2024 | Dr. Anya Patel       | Pediatrics        | High                 | None                | Surat             | 14           |
| 15:00 | 13/06/2024 | Dr. Avni Desai       | Gynecology        | Moderate             | None                | Kanpur            | 19           |
| 09:15 | 18/06/2024 | Dr. Arnav Malhotra   | Cardiology        | Low                  | None                | Allahabad         | 12           |
| 11:45 | 23/06/2024 | Dr. Risha Kapoor     | Orthopedics       | High                 | None                | Jabalpur          | 27           |
| 14:15 | 28/06/2024 | Dr. Aarush Joshi     | Dermatology       | Moderate             | None                | Amritsar          | 19           |
| 17:00 | 03/07/2024 | Dr. Anvi Kapoor      | Pediatrics        | Low                  | None                | Ludhiana          | 21           |
| 10:30 | 08/07/2024 | Dr. Aarav Desai      | Gynecology        | High                 | 08-15 Jul 2024      | Varanasi          | 22           |
| 13:00 | 13/07/2024 | Dr. Advait Joshi     | Cardiology        | Moderate             | None                | Delhi             | 30           |
| 15:45 | 18/07/2024 | Dr. Aanya Malhotra   | Orthopedics       | Low                  | None                | Mumbai            | 16           |
| 09:30 | 23/07/2024 | Dr. Arjun Patel      | Dermatology       | High                 | None                | Chennai           | 18           |
| 11:15 | 28/07/2024 | Dr. Anaya Joshi      | Pediatrics        | Moderate             | None                | Hyderabad         | 25           |
| 14:00 | 02/08/2024 | Dr. Kabir Singh      | Gynecology        | Low                  | 02-08 Aug 2024      | Bangalore         | 20           |
| 17:30 | 07/08/2024 | Dr. Aashi Desai      | Cardiology        | High                 | None                | Pune              | 21           |
| 10:00 | 12/08/2024 | Dr. Aarav Kapoor     | Orthopedics       | Moderate             | None                | Jaipur            | 22           |
| 13:30 | 17/08/2024 | Dr. Zara Patel       | Dermatology       | Low                  | None                | Chandigarh        | 20           |
| 15:45 | 22/08/2024 | Dr. Avisha Joshi     | Pediatrics        | High                 | None                | Bhopal            | 15           |
| 09:30 | 27/08/2024 | Dr. Arnav Desai      | Gynecology        | Moderate             | None                | Ahmedabad         | 22           |
| 11:15 | 01/09/2024 | Dr. Anya Sharma      | Cardiology        | Low                  | 01-10 Sep 2024      | Kolkata           | 28           |
| 14:00 | 06/09/2024 | Dr. Aarav Malhotra   | Orthopedics       | High               | None                | Mumbai            | 22           |
| 16:30 | 11/09/2024 | Dr. Aanya Desai      | Dermatology       | Moderate             | None                | Chennai           | 24           |
| 10:00 | 20/03/2024 | Dr. Advait Deshmukh  | Cardiology        | Moderate             | None                | Kanpur            | 20           |
| 13:30 | 25/03/2024 | Dr. Aanya Joshi      | Orthopedics       | High                 | None                | Allahabad         | 15           |
| 15:45 | 30/03/2024 | Dr. Aarav Patel       | Dermatology       | Low                  | 30 Mar - 05 Apr 2024 | Jabalpur          | 25           |
| 16:30 | 04/04/2024 | Dr. Aanya Singh       | Pediatrics        | Moderate             | None                | Amritsar          | 18           |
| 11:15 | 09/04/2024 | Dr. Vihaan Kapoor     | Gynecology        | High                 | None                | Ludhiana          | 22           |
| 14:00 | 14/04/2024 | Dr. Aarav Desai       | Cardiology        | Low                  | None                | Varanasi          | 30           |
| 16:30 | 19/04/2024 | Dr. Zara Patel        | Orthopedics       | High                 | None                | Surat             | 16           |
| 08:45 | 24/04/2024 | Dr. Kabir Malhotra    | Dermatology       | Low                  | None                | Kanpur            | 12           |
| 12:30 | 29/04/2024 | Dr. Aaryan Kapoor     | Pediatrics        | High                 | None                | Allahabad         | 28           |
| 15:00 | 04/05/2024 | Dr. Anvi Desai        | Gynecology        | Moderate             | None                | Jabalpur          | 21           |
| 09:15 | 09/05/2024 | Dr. Risha Kapoor      | Cardiology        | High                 | None                | Pune              | 19           |
| 11:45 | 14/05/2024 | Dr. Avisha Joshi      | Orthopedics       | Low                  | None                | Mumbai            | 24           |
| 14:15 | 19/05/2024 | Dr. Aanya Patel       | Dermatology       | High                 | None                | Chennai           | 14           |
| 17:00 | 24/05/2024 | Dr. Arnav Singh       | Pediatrics        | Moderate             | None                | Visakhapatnam     | 17           |
| 10:30 | 29/05/2024 | Dr. Anika Desai       | Gynecology        | Low                  | 29 May - 03 Jun 2024 | Surat             | 23           |
| 13:00 | 03/06/2024 | Dr. Aarav Joshi       | Cardiology        | High                 | None                | Kanpur            | 13           |
| 15:45 | 08/06/2024 | Dr. Aahana Kapoor     | Orthopedics       | Moderate             | None                | Allahabad         | 27           |
| 09:30 | 13/06/2024 | Dr. Advait Patel      | Dermatology       | Low                  | None                | Jabalpur          | 20           |
| 12:15 | 18/06/2024 | Dr. Aria Singh        | Pediatrics        | High                 | None                | Amritsar          | 16           |
| 14:45 | 23/06/2024 | Dr. Aarav Deshmukh    | Gynecology        | Low                  | 23-30 Jun 2024      | Ludhiana          | 25           |
| 17:30 | 28/06/2024 | Dr. Avni Kapoor       | Cardiology        | Moderate             | None                | Varanasi          | 18           |
| 10:00 | 03/07/2024 | Dr. Vihaan Desai      | Orthopedics       | High               | None                | Patna             | 22           |
| 13:30 | 08/07/2024 | Dr. Aria Patel        | Dermatology       | Low                  | None                | Chandigarh        | 30           |
| 15:45 | 13/07/2024 | Dr. Aaryan Malhotra   | Pediatrics        | Moderate             | None                | Bhopal            | 16           |
| 09:30 | 18/07/2024 | Dr. Avisha Joshi      | Gynecology        | High                 | 18-25 Jul 2024      | Ahmedabad         | 19           |
| 11:15 | 23/07/2024 | Dr. Aanya Desai       | Cardiology        | Low                  | None                | Kolkata           | 24           |
| 14:00 | 28/07/2024 | Dr. Aarav Joshi       | Orthopedics       | High               | None                | Mumbai            | 22           |
| 16:30 | 02/08/2024 | Dr. Aaria Kapoor      | Dermatology       | Low                  | None                | Chennai           | 30           |
| 08:45 | 07/08/2024 | Dr. Aaryan Desai      | Pediatrics        | Moderate             | None                | Visakhapatnam     | 16           |
| 12:30 | 12/08/2024 | Dr. Avi Singh         | Gynecology        | High                 | None                | Surat             | 21           |
| 15:00 | 17/08/2024 | Dr. Aarav Kapoor      | Cardiology        | Moderate             | 17-22 Aug 2024      | Kanpur            | 19           |
| 09:15 | 22/08/2024 | Dr. Avika Deshmukh    | Orthopedics       | Low                  | None                | Allahabad         | 27           |
| 11:45 | 27/08/2024 | Dr. Aahana Patel      | Dermatology       | Moderate             | None                | Jabalpur          | 19           |
| 14:15 | 01/09/2024 | Dr. Aaryan Malhotra   | Pediatrics        | High                 | None                | Amritsar          | 24           |
| 17:00 | 06/09/2024 | Dr. Anaya Kapoor      | Gynecology        | Low                  | None                | Ludhiana          | 16           |
| 10:30 | 11/09/2024 | Dr. Vihaan Desai      | Cardiology        | High                 | 11-18 Sep 2024      | Varanasi          | 21           |
| 13:00 | 16/09/2024 | Dr. Zara Patel        | Orthopedics       | Moderate             | None                | Surat             | 23           |
| 15:45 | 21/09/2024 | Dr. Kabir Malhotra    | Dermatology       | Low                  | None                | Kanpur            | 22           |
| 09:30 | 26/09/2024 | Dr. Anvi Joshi        | Pediatrics        | High                 | None                | Allahabad         | 18           |
| 11:15 | 01/10/2024 | Dr. Risha Kapoor      | Gynecology        | Low                  | 01-10 Oct 2024      | Jabalpur          | 25           |
| 14:00 | 06/10/2024 | Dr. Avisha Joshi      | Cardiology        | High                 | None                | Amritsar          | 17           |
| 16:30 | 11/10/2024 | Dr. Advait Patel      | Orthopedics       | Low                  | None                | Ludhiana          | 20           |
| 08:45 | 16/10/2024 | Dr. Aria Singh        | Dermatology       | Moderate             | None                | Varanasi          | 15           |
| 12:30 | 21/10/2024 | Dr. Aarav Desai       | Pediatrics        | High                 | None                | Surat             | 21           |
| 15:00 | 26/10/2024 | Dr. Anaya Kapoor      | Gynecology        | Low                  | None                | Kanpur            | 30           |
| 09:15 | 31/10/2024 | Dr. Aanya Desai       | Cardiology        | High                 | 31 Oct - 05 Nov 2024 | Allahabad         | 16           |
| 11:45 | 05/11/2024 | Dr. Aarav Joshi       | Orthopedics       | Moderate             | None                | Jabalpur          | 19           |
| 14:15 | 10/11/2024 | Dr. Aahana Patel      | Dermatology       | Low                  | None                | Amritsar          | 24           |
| 17:00 | 15/11/2024 | Dr. Aaryan Malhotra   | Pediatrics        | High                 | None                | Ludhiana          | 18           |
| 10:30 | 20/11/2024 | Dr. Avisha Joshi      | Gynecology        | Low                  | 20-25 Nov 2024      | Varanasi          | 23           |
| 13:00 | 25/11/2024 | Dr. Anvi Joshi        | Cardiology        | High                 | None                | Surat             | 19           |
| 15:45 | 30/11/2024 | Dr. Risha Kapoor      | Orthopedics       | Moderate             | None                | Kanpur            | 15           |
| 09:30 | 05/12/2024 | Dr. Advait Patel      | Dermatology       | Low                  | None                | Allahabad         | 27           |
| 12:15 | 10/12/2024 | Dr. Aria Singh        | Pediatrics        | High                 | None                | Jabalpur          | 22           |
| 14:45 | 15/12/2024 | Dr. Aarav Desai       | Gynecology        | Moderate             | None                | Amritsar          | 16           |
| 17:30 | 20/12/2024 | Dr. Aanya Kapoor      | Cardiology        | Low                  | 20-27 Dec 2024      | Ludhiana          | 28           |
| 10:00 | 25/12/2024 | Dr. Aarav Joshi       | Orthopedics       | High               | None                | Varanasi          | 17           |
